country,year,HAE
GBR,2012,0.1440697756729877
GBR,2013,0.24008433973047788
GBR,2014,0.37338845515752106
GBR,2015,0.23879961045235132
GBR,2016,0.8810415521157238
GBR,2017,0.7345674961421946
GBR,2018,0.12354632490095337
GBR,2019,0.09571912018110332
GBR,2020,0.4248014873201086
GBR,2021,0.49196518714012993
GBR,2022,0.4954084516967896
GEO,2009,0.4243248789627958
GEO,2010,0.596201953984095
GEO,2011,0.5827871367562287
GEO,2012,0.46765723759271566
GEO,2013,0.44673178469865693
GEO,2014,0.8324716565808984
GEO,2015,0.8981582823836106
GEO,2016,0.8947326751582678
GEO,2017,0.8659210110014781
GEO,2018,0.5949367899670559
GEO,2019,0.6461295655287295
GEO,2020,0.23870897552460035
GEO,2021,0.5790588772011414
GEO,2022,0.6998742250335165
GHA,2009,0.6089717011035399
GHA,2010,
GHA,2011,0.5546873794356013
GHA,2012,0.5323437796005754
GHA,2013,0.3423908474431222
GHA,2014,0.41086074185361976
GHA,2015,0.46035166175634895
GHA,2016,0.41559646412047563
GHA,2017,0.3611137227366843
GHA,2018,0.30428336439480186
GHA,2019,0.4357401285354309
GHA,2020,0.23027735177426503
GHA,2021,0.22245820200580646
GHA,2022,0.13280929723288015
GIN,2009,0.13979652124106828
GIN,2010,
GIN,2011,0.9401725873528082
GIN,2012,0.530301523710794
GIN,2013,0.0008436185617883621
GIN,2014,0.05851996289153569
GIN,2015,0.04418643110972914
GIN,2016,1.0
GIN,2017,0.37366817980830275
GIN,2018,0.19852638143919857
GIN,2019,0.022524966137608963
GIN,2020,0.08456426278671027
GIN,2021,0.07839890598635352
GIN,2022,0.22316586345678463
GMB,2009,
GMB,2010,0.1605030583614866
GMB,2011,0.4461590005161363
GMB,2012,0.24108854332897234
GMB,2013,0.3546631629624918
GMB,2014,0.19105904036812385
GMB,2015,0.3590734768384604
GMB,2016,0.3195961131836634
GMB,2017,0.3145261193890159
GMB,2018,0.34114030919427435
GMB,2019,0.26727544263681174
GMB,2020,0.7102347096089775
GMB,2021,0.8447165584863731
GMB,2022,0.7060199978646642
GNB,2009,0.15158339990319972
GNB,2010,0.19650271538305392
GNB,2011,0.14912520464948348
GNB,2012,0.043032236399973896
GNB,2013,0.11800095983674366
GNB,2014,0.1855688512404396
GNB,2015,0.1210299949511796
GNB,2016,0.13091039856498912
GNB,2017,0.07267816610180977
GNB,2018,0.08994970094496542
GNB,2019,0.3009139957720734
GNB,2020,0.08329709959818443
GNB,2021,0.06806582318779988
GNB,2022,0.07970639691014679
GNQ,2009,
GNQ,2010,
GNQ,2011,
GNQ,2012,
GNQ,2013,
GNQ,2014,
GNQ,2015,0.6011480647911485
GNQ,2016,1.0
GNQ,2017,0.2249592306956642
GNQ,2018,0.17984090640702846
GNQ,2019,0.5792718149473665
GNQ,2020,0.017232265743904313
GNQ,2021,0.4293749647755414
GNQ,2022,0.6764638517614393
GRC,2009,0.10623023177772933
GRC,2010,0.05014516002922526
GRC,2011,0.06851375947360895
GRC,2012,0.0653262919019651
GRC,2013,0.10266136623902315
GRC,2014,0.1628424058462427
GRC,2015,0.09770536324820722
GRC,2016,0.15404633211335808
GRC,2017,0.11959876035110859
GRC,2018,0.14205454105527043
GRC,2019,0.18093773882787023
GRC,2020,0.13767730470156053
GRC,2021,0.24284262263313114
GRC,2022,0.3266325581405156
GRD,2009,0.9531571643441998
GRD,2010,0.5016440207898928
GRD,2011,0.7890538606665892
GRD,2012,0.4730931760698453
GRD,2013,1.0
GRD,2014,0.6622851092654597
GRD,2015,1.0
GRD,2016,0.7915817715582573
GRD,2017,0.9285579401758003
GRD,2018,1.0
GRD,2019,1.0
GRD,2020,1.0
GRD,2021,0.9599566578657883
GRD,2022,0.9406912973575906
GTM,2009,0.09127894197850608
GTM,2010,0.2617299523694957
GTM,2011,0.1620691252836653
GTM,2012,0.21150499483455637
GTM,2013,0.2006963570568526
GTM,2014,0.16448456254523858
GTM,2015,0.14565086204734906
GTM,2016,0.09739829189858915
GTM,2017,0.09887100248063686
GTM,2018,0.09679397511556867
GTM,2019,0.1334874486829383
GTM,2020,0.1051750925591087
GTM,2021,0.3290432026260931
GTM,2022,0.15202934451307704
GUM,2009,
GUM,2010,
GUM,2011,
GUM,2012,
GUM,2013,
GUM,2014,
GUM,2015,
GUM,2016,
GUM,2017,
GUM,2018,
GUM,2019,
GUM,2020,
GUM,2021,
GUM,2022,
GUY,2009,
GUY,2010,
GUY,2011,
GUY,2012,
GUY,2013,
GUY,2014,
GUY,2015,
GUY,2016,0.12492478477914014
GUY,2017,0.29801082894442027
GUY,2018,1.0
GUY,2019,1.0
GUY,2020,1.0
GUY,2021,1.0
GUY,2022,1.0
HND,2009,0.23091150144691291
HND,2010,0.4085083948661581
HND,2011,0.4038500408233754
HND,2012,0.47196891532223806
HND,2013,0.4131421874568762
HND,2014,0.70685778336654
HND,2015,0.5344124663138871
HND,2016,0.427913406826744
HND,2017,0.2982382269557941
HND,2018,0.5512177258414633
HND,2019,0.37900701427486594
HND,2020,0.10649313155297854
HND,2021,0.25770900637794064
HND,2022,0.16522112958212834
HRV,2009,0.4754573947833511
HRV,2010,0.22509433089109684
HRV,2011,0.13880243741054013
HRV,2012,0.1798250411419534
HRV,2013,0.10945375232183206
HRV,2014,0.6126765999241847
HRV,2015,0.07499266049832413
HRV,2016,0.28589791389040853
HRV,2017,0.279859407223511
HRV,2018,0.21414969299353906
