country,year,V,V_star,R
NIC,2013,0.5714285714285714,0.5325458087078353,0.13608966952257648
NIC,2014,1.0,0.9200944943410269,0.15981101131794637
NIC,2015,1.0,0.9125473726030359,0.17490525479392824
NIC,2016,1.0,0.9149585706307111,0.17008285873857798
NIC,2017,1.0,0.9071877816379192,0.18562443672416143
NIC,2018,1.0,0.9168686550091869,0.16626268998162627
NIC,2019,0.4273448503813324,0.38459510804195934,0.20007140510164653
NIC,2020,1.0,0.8595922479314386,0.28081550413712275
NIC,2021,0.5714285714285714,0.4966350335911833,0.2617773824308585
NIC,2022,1.0,0.8898408925696156,0.22031821486076866
NLD,2009,1.0,1.0,0.0
NLD,2010,1.0,0.9995020634358496,0.0009958731283008456
NLD,2011,1.0,1.0,0.0
NLD,2012,0.5792619651136466,0.5780725895978859,0.0041065203220353105
NLD,2013,0.5799538570673254,0.5799538570673254,0.0
NLD,2014,0.5796089214365463,0.5796089214365463,0.0
NLD,2015,0.5796982586384771,0.5796982586384771,0.0
NLD,2016,0.5817195157979629,0.5817195157979629,0.0
NLD,2017,0.5817973038102427,0.5817973038102427,0.0
NLD,2018,0.5813616516835451,0.5813616516835451,0.0
NLD,2019,0.5816055006465872,0.5816055006465872,0.0
NLD,2020,0.5716978592573958,0.5710379657647447,0.002308539316583199
NLD,2021,1.0,0.9988960316886455,0.002207936622708975
NLD,2022,1.0,1.0,0.0
NOR,2009,0.15272663740310904,0.1215462728071101,0.4083159968185644
NOR,2010,0.37124386433736595,0.29600978396014815,0.40530814165240575
NOR,2011,0.14760316386918385,0.11836802154406975,0.3961316486552321
NOR,2012,0.33426864810988305,0.267958363635064,0.3967484527775461
NOR,2013,0.08698765539101626,0.06958105338799188,0.4002085565999072
NOR,2014,0.1615098723005529,0.12871911243838607,0.4060527000002409
NOR,2015,0.23142035553935694,0.1840586781004355,0.4093129779231266
NOR,2016,0.21178017767517215,0.16810024542631363,0.41250255551163695
NOR,2017,0.05796466677016249,0.04597570038642925,0.41366463577789764
NOR,2018,0.1419607947805002,0.11309099672113902,0.4067291691906862
NOR,2019,0.18527910572656106,0.14727707544151744,0.41021387852689495
NOR,2020,0.09806232004766935,0.07697536265645424,0.43007257794766557
NOR,2021,0.2957061190278134,0.23355682886230442,0.4203449720271998
NOR,2022,0.2126532679138429,0.16967910333087785,0.4041712126462701
NPL,2009,0.19504532216110088,0.16275533366807443,0.3311024138928696
NPL,2010,0.1738250382971291,0.14774660262105588,0.3000538464602074
NPL,2011,0.17375826308048084,0.1441212730570487,0.3411289857300771
NPL,2012,0.14852640396708314,0.11960091094059214,0.3894996748578328
NPL,2013,0.1656808348740746,0.12896685530173807,0.44318921497759134
NPL,2014,0.16481619970530403,0.12890877007705298,0.4357269454392779
NPL,2015,0.15138630273059267,0.10104348980450287,0.6650907250926122
NPL,2016,0.1836035121272994,0.13408098292174833,0.5394507831769056
NPL,2017,0.2317623261297149,0.17531174510753816,0.4871419955509244
NPL,2018,0.21600340952888158,0.17994594530976873,0.3338601395020262
NPL,2019,0.22820739639041923,0.18472337119225607,0.3810921634088519
NPL,2020,0.07917225939048593,0.05296345950447772,0.6620702778417284
NPL,2021,0.021300423741814012,0.017680174410020164,0.33992275230535285
NPL,2022,,,0.36205245389583446
NRU,2009,0.0,0.0,0.0
NRU,2010,0.015393016819246345,0.015393016819246345,0.0
NRU,2011,0.01600316237141508,0.01600316237141508,0.0
NRU,2012,0.0007064973196609979,0.0007064973196609979,0.0
NRU,2013,0.002565525695880014,0.002565525695880014,0.0
NRU,2014,0.08230170619942338,0.08230170619942338,0.0
NRU,2015,0.020849737664087566,0.020849737664087566,0.0
NRU,2016,0.050898200869605295,0.050898200869605295,0.0
NRU,2017,0.06771846960275457,0.06771846960275457,0.0
NRU,2018,0.5767455496535855,0.5767455496535855,0.0
NRU,2019,0.5153378824427538,0.5153378824427538,0.0
NRU,2020,0.3628490486898333,0.3628490486898333,0.0
NRU,2021,1.0,1.0,0.0
NRU,2022,1.0,1.0,0.0
NZL,2009,0.24936169852569567,0.22279481759406428,0.21307908222235503
NZL,2010,0.14562142451237634,0.13221314402130643,0.18415257969036458
NZL,2011,0.14187819290881273,0.13113562797623446,0.15143363067053847
NZL,2012,0.27989747481751615,0.25863931644675536,0.151899608130587
NZL,2013,0.1254021987497563,0.11701737357650493,0.13372692435773834
NZL,2014,0.2968006197951243,0.2790925767851759,0.11932618619308752
NZL,2015,0.11247515744940415,0.10520584441701274,0.12926077539676165
NZL,2016,0.23485126912329332,0.2155021660845835,0.16477750459633964
NZL,2017,0.20133275678247203,0.18430111337662997,0.1691889951543627
NZL,2018,0.22903706046879066,0.21445570999881933,0.12732743286284223
NZL,2019,0.33824065848876944,0.3154068645359863,0.13501507509358915
NZL,2020,0.4274819508493316,0.40123724513577264,0.1227874330666609
NZL,2021,0.38511240454599444,0.3648495344496884,0.10523093962758104
NZL,2022,0.7063817074429397,0.679385991345846,0.07643379156806494
OMN,2009,0.2787794797429644,0.2384022874346916,0.28967119348598197
OMN,2010,0.29236515917040573,0.2528690758673581,0.27018324218329515
OMN,2011,0.36037854046705586,0.3158965473052842,0.24686260787960546
OMN,2012,0.24591192821588784,0.22034629759227833,0.20792509585923996
OMN,2013,0.2728878286677719,0.24670651573636337,0.19188333213118872
OMN,2014,0.27673964510277815,0.24674931765323466,0.2167403765976893
